,Candidate space,Preprocessing time,BLAST time,Number of BLAST records,Network elimination time,Total time,Library size,Peak memory usage (GB)
0,1000,0.026477813720703125,0.18422150611877441,1104,0.02501821517944336,0.2357175350189209,48,0.19418
1,11473,0.27607107162475586,2.1173737049102783,22527,0.5155026912689209,2.908947467803955,3413,1.033504
2,21947,0.486905574798584,5.592199325561523,62289,1.589977741241455,7.6690826416015625,8562,3.462756
3,32421,0.7669775485992432,9.246955871582031,121063,3.2054245471954346,13.219357967376709,13433,5.183316
4,42894,1.1331853866577148,13.592891216278076,197903,4.874259948730469,19.60033655166626,17291,6.949992
5,53368,1.1793639659881592,19.423693418502808,292697,7.025400161743164,27.62845754623413,20287,8.764828
6,63842,1.537095308303833,24.202973127365112,407387,10.173935174942017,35.91400361061096,22554,10.63404
7,74315,1.6120765209197998,31.417511701583862,537926,13.477209091186523,46.506797313690186,24364,12.608032
8,84789,1.9304163455963135,38.08809041976929,690621,17.704803943634033,57.723310708999634,26052,14.600676
9,95263,2.0345163345336914,47.308613538742065,857228,21.42198085784912,70.76511073112488,27507,16.632736
10,105736,2.41111421585083,56.87035059928894,1042987,27.01747155189514,86.29893636703491,28755,18.420528
11,116210,2.5019595623016357,72.24658799171448,1248518,32.72132658958435,107.46987414360046,29740,20.643332
12,126684,2.8709921836853027,91.08281993865967,1473945,36.68729329109192,130.6411054134369,30735,40.512284
13,137157,2.905491590499878,110.99356079101562,1714761,45.26730442047119,159.1663568019867,31714,62.87096
14,147631,3.470700979232788,131.86306428909302,1972644,49.756995677948,185.0907609462738,32589,88.495424
15,158105,3.4381556510925293,156.12521314620972,2257620,57.3113853931427,216.87475419044495,33229,89.370436
16,168578,4.281179904937744,181.18924760818481,2554548,64.78998136520386,250.26040887832642,33914,89.718408
17,179052,4.049183130264282,208.03252744674683,2870918,73.74334406852722,285.82505464553833,34767,92.524928
18,189526,4.348878622055054,238.19062209129333,3204808,79.82313013076782,322.3626308441162,35319,92.524928
19,200000,4.756646633148193,264.40342354774475,3558865,90.28795075416565,359.4480209350586,35905,92.524928
