,Design tool,Time (s),Peak memory usage (GB),Library size
0,DeLOB,0.1916141510009765,0.195604,39.0
1,DeLOB,0.2034530639648437,0.198676,61.0
2,DeLOB,0.267827033996582,0.200232,99.0
3,DeLOB,0.3546655178070068,0.20228,183.0
4,DeLOB,0.4806621074676513,0.203388,319.0
5,DeLOB,0.7262895107269287,0.210404,537.0
6,DeLOB,0.9490587711334229,0.305516,902.0
7,DeLOB,1.40112566947937,0.478744,1477.0
8,DeLOB,2.0495307445526123,0.839328,2434.0
9,DeLOB,2.862834215164185,1.107348,3798.0
10,DeLOB,4.2673399448394775,1.4692,5725.0
11,DeLOB,6.6845176219940186,3.383164,8365.0
12,DeLOB,10.101317405700684,4.507732,11586.0
13,DeLOB,15.266427993774414,6.027444,15472.0
14,DeLOB,23.43462562561035,8.094108,19198.0
15,DeLOB,36.178988218307495,10.926972,22840.0
16,DeLOB,57.980663776397705,14.918048,26280.0
17,DeLOB,100.83931493759157,19.7296,29393.0
18,DeLOB,190.75963521003723,87.637136,32806.0
19,DeLOB,351.2612044811249,90.02178,35944.0
20,seqwalk,16.55256,0.40006,1198372.0
